year,collecting_dat_m/dd/yyyy,plot,management,climate,species,individual,capsel,Seed_count,unviable,status,herbivory,ripe,comments,unviable_seeds,edge_of_plot,sepcific_comment,
2018,4/27/2018,1_1,mowing,ambient,Ant_odo,1,1,77,,,,,,,,,
2018,4/27/2018,1_1,mowing,ambient,Ant_odo,2,1,62,,,,,,,,,
2018,4/27/2018,1_3,grazing,ambient,Ant_odo,1,1,57,,,,,,,,,
2018,4/27/2018,1_3,grazing,ambient,Ant_odo,2,1,85,,,,,,,,,
2018,4/27/2018,10_1,grazing,ambient,Ant_odo,1,1,77,,,,,,,,,
2018,4/27/2018,10_1,grazing,ambient,Ant_odo,2,1,52,,,,,,,,,
2018,4/27/2018,10_2,mowing,ambient,Ant_odo,1,1,60,,,,,,,,,
2018,4/27/2018,10_2,mowing,ambient,Ant_odo,2,1,90,,,,,,,,,
2018,4/27/2018,2_2,grazing,future,Ant_odo,2,1,47,,,,,,,,,
2018,4/27/2018,2_2,grazing,future,Ant_odo,1,1,49,,,,,,,,,
2018,4/27/2018,2_5,mowing,future,Ant_odo,2,1,89,,,,,,,,,
2018,4/27/2018,2_5,mowing,future,Ant_odo,1,1,69,,,,,,,,,
2018,4/27/2018,3_4,mowing,ambient,Ant_odo,2,1,42,,,,,,,,,
2018,4/27/2018,3_4,mowing,ambient,Ant_odo,1,1,42,,,,,,,,,
2018,4/27/2018,3_5,grazing,ambient,Ant_odo,1,1,36,,,,,,,,,
2018,4/27/2018,3_5,grazing,ambient,Ant_odo,2,1,43,,,,,,,,,
2018,4/27/2018,4_4,mowing,future,Ant_odo,1,1,40,,,,,,,,,
2018,4/27/2018,4_4,mowing,future,Ant_odo,2,1,78,,,,,,,,,
2018,4/27/2018,4_5,grazing,future,Ant_odo,2,1,44,,,,,,,,,
2018,4/27/2018,4_5,grazing,future,Ant_odo,1,1,84,,,,,,,,,
2018,4/27/2018,5_4,grazing,ambient,Ant_odo,2,1,40,,,,,,,,,
2018,4/27/2018,5_4,grazing,ambient,Ant_odo,1,1,70,,,,,,,,,
2018,4/27/2018,5_5,mowing,ambient,Ant_odo,2,1,45,,,,,,,,,
2018,4/27/2018,5_5,mowing,ambient,Ant_odo,1,1,85,,,,,,,,,
2018,4/27/2018,6_1,grazing,future,Ant_odo,2,1,42,,,,,,,,,
2018,4/27/2018,6_1,grazing,future,Ant_odo,1,1,32,,,,,,,,,
2018,4/27/2018,6_3,mowing,future,Ant_odo,2,1,75,,,,,,,,,
2018,4/27/2018,6_3,mowing,future,Ant_odo,1,1,47,,,,,,,,,
2018,4/27/2018,7_2,mowing,future,Ant_odo,1,1,67,,,,,,,,,
2018,4/27/2018,7_2,mowing,future,Ant_odo,2,1,91,,,,,,,,,
2018,4/27/2018,7_3,grazing,future,Ant_odo,2,1,63,,,,,,,,,
2018,4/27/2018,7_3,grazing,future,Ant_odo,1,1,67,,,,,,,,,
2018,4/27/2018,8_2,grazing,ambient,Ant_odo,1,1,24,,,,,,,,,
2018,4/27/2018,8_2,grazing,ambient,Ant_odo,2,1,38,,,,,,,,,
2018,4/27/2018,8_3,mowing,ambient,Ant_odo,2,1,76,,,,,,,,,
2018,4/27/2018,8_3,mowing,ambient,Ant_odo,1,1,35,,,,,,,,,
2018,4/27/2018,9_1,mowing,future,Ant_odo,1,1,27,,,,,,,,,
2018,4/27/2018,9_1,mowing,future,Ant_odo,2,1,84,,,,,,,,,
2018,4/27/2018,9_4,grazing,future,Ant_odo,2,1,44,,,,,,,,,
2018,4/27/2018,9_4,grazing,future,Ant_odo,1,1,54,,,,,,,,,
2019,5/2/2019,1_1,mowing,ambient,Ant_odo,2,,40,,,,,,,,,
2019,5/2/2019,1_1,mowing,ambient,Ant_odo,1,,26,,,,,dried_out_at_bottom_seeds_fallen_out?,,,,
2019,5/2/2019,1_3,grazing,ambient,Ant_odo,2,,39,,,,,,,,,
2019,5/2/2019,1_3,grazing,ambient,Ant_odo,1,,42,,,,,,,,,
2019,5/2/2019,10_1,grazing,ambient,Ant_odo,2,,30,,,,,,,,,
2019,5/2/2019,10_1,grazing,ambient,Ant_odo,1,,46,,,,,,,,,
2019,5/2/2019,10_2,mowing,ambient,Ant_odo,1,,32,,,,,,,,,
2019,5/2/2019,10_2,mowing,ambient,Ant_odo,2,,39,,,,,,,,,
2019,5/2/2019,2_2,grazing,future,Ant_odo,2,,49,,,,,,,,,
2019,5/2/2019,2_2,grazing,future,Ant_odo,1,,37,,,,,,,,,
2019,5/2/2019,2_5,mowing,future,Ant_odo,2,,36,,,,,,,,,
2019,5/2/2019,2_5,mowing,future,Ant_odo,1,,41,,,,,,,,,
2019,5/2/2019,3_4,mowing,ambient,Ant_odo,1,,45,,,,,,,,,
2019,5/2/2019,3_4,mowing,ambient,Ant_odo,2,,24,,,,,,,,,
2019,5/2/2019,3_5,grazing,ambient,Ant_odo,2,,24,,,,,,,,,
2019,5/2/2019,3_5,grazing,ambient,Ant_odo,1,,29,,,,,,,,,
2019,5/2/2019,4_4,mowing,future,Ant_odo,2,,21,,,,,,,,,
2019,5/2/2019,4_4,mowing,future,Ant_odo,1,,33,,,,,,,,,
2019,5/2/2019,4_5,grazing,future,Ant_odo,2,,27,,,,,,,,,
2019,5/2/2019,4_5,grazing,future,Ant_odo,1,,50,,,,,,,,,
2019,5/2/2019,5_4,grazing,ambient,Ant_odo,1,,40,,,,,,,,,
2019,5/2/2019,5_4,grazing,ambient,Ant_odo,2,,20,,,,,,,,,
2019,5/2/2019,5_5,mowing,ambient,Ant_odo,2,,36,,,,,,,,,
2019,5/2/2019,5_5,mowing,ambient,Ant_odo,1,,26,,,,,,,,,
2019,5/2/2019,6_1,grazing,future,Ant_odo,2,,27,,,,,,,,,
2019,5/2/2019,6_1,grazing,future,Ant_odo,1,,50,,,,,,,,,
2019,5/2/2019,6_3,mowing,future,Ant_odo,1,,28,,,,,,,,,
2019,5/2/2019,6_3,mowing,future,Ant_odo,2,,21,,,,,dried_out_at_bottom_5_seeds_fallen_out?,,,,
2019,5/2/2019,7_3,grazing,future,Ant_odo,1,,38,,,,,Plot_7_4?,,,,
2019,5/2/2019,7_3,grazing,future,Ant_odo,2,,46,,,,,Plot_7_4?,,,,
2019,5/2/2019,7_3,grazing,future,Ant_odo,1,,31,,,,,,,,,
2019,5/2/2019,7_3,grazing,future,Ant_odo,2,,30,,,,,,,,,
2019,5/2/2019,8_2,grazing,ambient,Ant_odo,1,,37,,,,,,,,,
2019,5/2/2019,8_2,grazing,ambient,Ant_odo,2,,38,,,,,,,,,
2019,5/2/2019,8_3,mowing,ambient,Ant_odo,1,,34,,,,,,,,,
2019,5/2/2019,8_3,mowing,ambient,Ant_odo,2,,41,,,,,,,,,
2019,5/2/2019,9_1,mowing,future,Ant_odo,2,,76,,,,,,,,,
2019,5/2/2019,9_1,mowing,future,Ant_odo,1,,51,,,,,,,,,
2019,5/2/2019,9_4,grazing,future,Ant_odo,2,,45,,,,,,,,,
2019,5/2/2019,9_4,grazing,future,Ant_odo,1,,46,,,,,,,,,
2020,6/3/2020,1_1,mowing,ambient,Ant_odo,1,,27,,,,,vom Rand,,,,
2020,6/3/2020,1_1,mowing,ambient,Ant_odo,2,,17,,,,,vom Rand,,,,
2020,6/3/2020,2_5,mowing,future,Ant_odo,,,19,,,,,,,,,
2020,6/2/2020,3_4,mowing,ambient,Ant_odo,1,,25,,,,,,,,,
2020,6/2/2020,3_4,mowing,ambient,Ant_odo,2,,44,,,,,,,,,
2020,6/2/2020,4_4,mowing,future,Ant_odo,1,,48,,,,,,,,,
2020,6/2/2020,4_4,mowing,future,Ant_odo,2,,25,,,,,,,,,
2020,6/2/2020,8_3,mowing,ambient,Ant_odo,1,,49,,,,,,,,,
2020,6/2/2020,8_3,mowing,ambient,Ant_odo,2,,37,,,,,,,,,
2020,6/2/2020,9_1,mowing,future,Ant_odo,1,,28,,,,,vom Rand,,,,
2020,6/2/2020,9_1,mowing,future,Ant_odo,2,,39,,,,,vom Rand,,,,
2020,6/2/2020,10_2,mowing,ambient,Ant_odo,,,24,,,,,,,,,
2020,6/9/2020,1_3,grazing,ambient,Ant_odo,1,,22,,,,,An der Wetterstation,,,,
2020,6/9/2020,1_3,grazing,ambient,Ant_odo,2,,20,,,,,An der Wetterstation,,,,
2020,6/9/2020,1_3,grazing,ambient,Ant_odo,3,,19,,,,,,,,,
2020,6/9/2020,6_1,grazing,future,Ant_odo,1,,23,,,,,,,,,
2020,6/9/2020,6_1,grazing,future,Ant_odo,2,,10,,,,,,,,,
2020,6/9/2020,9_4,grazing,future,Ant_odo,1,,0,,,,,,,,,
2018,5/2/2018,1_1,mowing,ambient,Bro_ere,1,1,50,,,,,,,,,
2018,5/2/2018,1_1,mowing,ambient,Bro_ere,2,1,82,,,,,,,,,
2018,5/2/2018,1_3,grazing,ambient,Bro_ere,1,1,124,,,,,,,,,
2018,5/2/2018,1_3,grazing,ambient,Bro_ere,2,1,114,,,,,,,,,
2018,5/2/2018,10_1,grazing,ambient,Bro_ere,3,1,42,,,,,,,,,
2018,5/2/2018,10_1,grazing,ambient,Bro_ere,1,1,114,,,,,,,,,
